,win rate,hero1,hero2
0,50.64827586206897,Ashe , Caitlyn
1,47.71622934888241,Ashe , Draven
2,53.12280701754386,Ashe , Ezreal
3,52.28346456692914,Ashe , Jhin
4,48.90350877192983,Ashe , Jinx
5,50.467289719626166,Ashe , Kalista
6,50.14492753623189,Ashe , KogMaw
7,49.802761341222876,Ashe , Lucian
8,47.40740740740741,Ashe , Miss Fortune
9,54.37665782493368,Ashe , Sivir
10,47.93536804308797,Ashe , Tristana
11,47.529411764705884,Ashe , Twitch
12,48.19277108433735,Ashe , Varus
13,50.183374083129586,Ashe , Vayne
14,49.47994056463596,Ashe , Xayah
15,49.351724137931036,Caitlyn , Ashe
16,51.61290322580645,Caitlyn , Corki
17,48.53273137697517,Caitlyn , Draven
18,54.67153284671533,Caitlyn , Ezreal
19,45.45454545454545,Caitlyn , Graves
20,53.64271457085829,Caitlyn , Jhin
21,49.70842080709121,Caitlyn , Jinx
22,52.6564344746163,Caitlyn , Kalista
23,47.40384615384615,Caitlyn , KogMaw
24,50.246978455070945,Caitlyn , Lucian
25,50.0,Caitlyn , Miss Fortune
26,52.15889464594128,Caitlyn , Sivir
27,50.98152424942263,Caitlyn , Tristana
28,47.77562862669246,Caitlyn , Twitch
29,51.94539249146758,Caitlyn , Varus
30,50.873032981245956,Caitlyn , Vayne
31,52.33472029588534,Caitlyn , Xayah
32,48.38709677419355,Corki , Caitlyn
33,47.87234042553192,Corki , Lucian
34,52.28377065111759,Draven , Ashe
35,51.46726862302483,Draven , Caitlyn
36,55.642361111111114,Draven , Ezreal
37,55.23648648648649,Draven , Jhin
38,49.77698483496878,Draven , Jinx
39,48.616600790513836,Draven , Kalista
40,47.00598802395209,Draven , KogMaw
41,53.286816011751746,Draven , Lucian
42,48.33887043189369,Draven , Miss Fortune
43,52.066115702479344,Draven , Sivir
44,51.5828677839851,Draven , Tristana
45,52.918287937743195,Draven , Twitch
46,55.82959641255605,Draven , Varus
47,51.63879598662208,Draven , Vayne
48,53.199404761904766,Draven , Xayah
49,46.87719298245614,Ezreal , Ashe
50,45.32846715328468,Ezreal , Caitlyn
51,44.35763888888889,Ezreal , Draven
52,46.61835748792271,Ezreal , Jhin
53,44.52411994784876,Ezreal , Jinx
54,50.13927576601671,Ezreal , Kalista
55,44.751381215469614,Ezreal , KogMaw
56,47.0655400776433,Ezreal , Lucian
57,43.30299089726918,Ezreal , Miss Fortune
58,43.6950146627566,Ezreal , Sivir
59,49.42028985507246,Ezreal , Tristana
60,43.47357065803668,Ezreal , Twitch
61,44.83516483516484,Ezreal , Varus
62,43.117408906882595,Ezreal , Vayne
63,47.105561861521004,Ezreal , Xayah
64,54.54545454545454,Graves , Caitlyn
65,47.77070063694268,Graves , Jinx
66,48.85057471264368,Graves , Lucian
67,40.26845637583892,Graves , Vayne
68,47.71653543307087,Jhin , Ashe
69,46.35728542914171,Jhin , Caitlyn
70,44.763513513513516,Jhin , Draven
71,53.3816425120773,Jhin , Ezreal
72,46.07843137254902,Jhin , Jinx
73,51.38121546961326,Jhin , Kalista
74,42.71844660194174,Jhin , KogMaw
75,45.842450765864335,Jhin , Lucian
76,45.51020408163266,Jhin , Miss Fortune
77,45.59585492227979,Jhin , Sivir
78,45.06172839506173,Jhin , Tristana
79,43.27272727272727,Jhin , Twitch
80,43.727598566308245,Jhin , Varus
81,47.14424007744434,Jhin , Vayne
82,46.98224852071006,Jhin , Xayah
83,51.09649122807017,Jinx , Ashe
84,50.2915791929088,Jinx , Caitlyn
85,50.22301516503123,Jinx , Draven
86,55.47588005215124,Jinx , Ezreal
87,52.22929936305732,Jinx , Graves
88,53.92156862745098,Jinx , Jhin
89,49.35400516795866,Jinx , Kalista
90,43.83561643835616,Jinx , KogMaw
91,50.60993751859566,Jinx , Lucian
92,50.687442713107245,Jinx , Miss Fortune
93,51.52838427947598,Jinx , Sivir
94,52.78450363196126,Jinx , Tristana
95,48.457350272232304,Jinx , Twitch
96,51.252408477842,Jinx , Varus
97,50.09140767824497,Jinx , Vayne
98,51.439069197795476,Jinx , Xayah
99,49.532710280373834,Kalista , Ashe
100,47.34356552538371,Kalista , Caitlyn
101,51.38339920948617,Kalista , Draven
102,49.86072423398329,Kalista , Ezreal
103,48.61878453038674,Kalista , Jhin
104,50.64599483204134,Kalista , Jinx
105,49.25521350546177,Kalista , Lucian
106,49.46808510638298,Kalista , Miss Fortune
107,46.98795180722892,Kalista , Tristana
108,47.05882352941176,Kalista , Twitch
109,46.476190476190474,Kalista , Vayne
110,51.28755364806867,Kalista , Xayah
111,49.85507246376812,KogMaw , Ashe
112,52.59615384615385,KogMaw , Caitlyn
113,52.99401197604791,KogMaw , Draven
114,55.24861878453039,KogMaw , Ezreal
115,57.28155339805825,KogMaw , Jhin
116,56.16438356164384,KogMaw , Jinx
117,52.16962524654832,KogMaw , Lucian
118,48.08743169398907,KogMaw , Miss Fortune
119,51.94174757281553,KogMaw , Tristana
120,41.875,KogMaw , Twitch
121,55.37037037037037,KogMaw , Vayne
122,53.93258426966292,KogMaw , Xayah
123,50.197238658777124,Lucian , Ashe
124,49.75302154492906,Lucian , Caitlyn
125,52.12765957446809,Lucian , Corki
126,46.71318398824826,Lucian , Draven
127,52.9344599223567,Lucian , Ezreal
128,51.14942528735632,Lucian , Graves
129,54.15754923413567,Lucian , Jhin
130,49.39006248140434,Lucian , Jinx
131,50.74478649453823,Lucian , Kalista
132,47.83037475345168,Lucian , KogMaw
133,48.771929824561404,Lucian , Miss Fortune
134,48.311688311688314,Lucian , Sivir
135,48.874010955569084,Lucian , Tristana
136,47.30392156862745,Lucian , Twitch
137,49.137931034482754,Lucian , Varus
138,50.53287753870903,Lucian , Vayne
139,51.62269437310296,Lucian , Xayah
140,52.59259259259259,Miss Fortune , Ashe
141,50.0,Miss Fortune , Caitlyn
142,51.66112956810631,Miss Fortune , Draven
143,56.697009102730824,Miss Fortune , Ezreal
144,54.48979591836734,Miss Fortune , Jhin
145,49.31255728689276,Miss Fortune , Jinx
146,50.53191489361703,Miss Fortune , Kalista
147,51.91256830601093,Miss Fortune , KogMaw
148,51.2280701754386,Miss Fortune , Lucian
149,54.773869346733676,Miss Fortune , Sivir
150,49.706457925636,Miss Fortune , Tristana
151,52.00698080279233,Miss Fortune , Twitch
152,55.62130177514793,Miss Fortune , Varus
153,51.82546749777382,Miss Fortune , Vayne
154,53.319057815845824,Miss Fortune , Xayah
155,45.62334217506631,Sivir , Ashe
156,47.84110535405872,Sivir , Caitlyn
157,47.93388429752066,Sivir , Draven
158,56.30498533724341,Sivir , Ezreal
159,54.40414507772021,Sivir , Jhin
160,48.47161572052402,Sivir , Jinx
161,51.688311688311686,Sivir , Lucian
162,45.22613065326633,Sivir , Miss Fortune
163,54.7085201793722,Sivir , Tristana
164,40.79601990049751,Sivir , Twitch
165,47.25490196078431,Sivir , Vayne
166,50.397877984084886,Sivir , Xayah
167,52.06463195691203,Tristana , Ashe
168,49.018475750577366,Tristana , Caitlyn
169,48.4171322160149,Tristana , Draven
170,50.57971014492754,Tristana , Ezreal
171,54.93827160493827,Tristana , Jhin
172,47.21549636803874,Tristana , Jinx
173,53.01204819277109,Tristana , Kalista
174,48.05825242718447,Tristana , KogMaw
175,51.125989044430916,Tristana , Lucian
176,50.293542074364,Tristana , Miss Fortune
177,45.2914798206278,Tristana , Sivir
178,45.14038876889849,Tristana , Twitch
179,45.794392523364486,Tristana , Varus
180,50.93411996066863,Tristana , Vayne
181,49.002849002849004,Tristana , Xayah
182,52.470588235294116,Twitch , Ashe
183,52.22437137330754,Twitch , Caitlyn
184,47.081712062256805,Twitch , Draven
185,56.52642934196332,Twitch , Ezreal
186,56.72727272727273,Twitch , Jhin
187,51.542649727767696,Twitch , Jinx
188,52.94117647058824,Twitch , Kalista
189,58.12500000000001,Twitch , KogMaw
190,52.69607843137255,Twitch , Lucian
191,47.99301919720768,Twitch , Miss Fortune
192,59.20398009950249,Twitch , Sivir
193,54.85961123110151,Twitch , Tristana
194,53.264604810996566,Twitch , Varus
195,52.59103641456583,Twitch , Vayne
196,51.87165775401069,Twitch , Xayah
197,51.80722891566265,Varus , Ashe
198,48.05460750853242,Varus , Caitlyn
199,44.17040358744394,Varus , Draven
200,55.16483516483517,Varus , Ezreal
201,56.272401433691755,Varus , Jhin
202,48.747591522158,Varus , Jinx
203,50.86206896551724,Varus , Lucian
204,44.37869822485207,Varus , Miss Fortune
205,54.20560747663551,Varus , Tristana
206,46.735395189003434,Varus , Twitch
207,50.22288261515602,Varus , Vayne
208,50.92592592592593,Varus , Xayah
209,49.816625916870414,Vayne , Ashe
210,49.126967018754044,Vayne , Caitlyn
211,48.36120401337793,Vayne , Draven
212,56.882591093117405,Vayne , Ezreal
213,59.73154362416108,Vayne , Graves
214,52.85575992255567,Vayne , Jhin
215,49.90859232175503,Vayne , Jinx
216,53.52380952380953,Vayne , Kalista
217,44.62962962962963,Vayne , KogMaw
218,49.46712246129097,Vayne , Lucian
219,48.17453250222618,Vayne , Miss Fortune
220,52.74509803921569,Vayne , Sivir
221,49.06588003933137,Vayne , Tristana
222,47.40896358543417,Vayne , Twitch
223,49.77711738484398,Vayne , Varus
224,49.4301392992824,Vayne , Xayah
225,50.52005943536404,Xayah , Ashe
226,47.66527970411465,Xayah , Caitlyn
227,46.80059523809524,Xayah , Draven
228,52.894438138479,Xayah , Ezreal
229,53.01775147928994,Xayah , Jhin
230,48.56093080220453,Xayah , Jinx
231,48.712446351931334,Xayah , Kalista
232,46.06741573033708,Xayah , KogMaw
233,48.377305626897034,Xayah , Lucian
234,46.680942184154176,Xayah , Miss Fortune
235,49.602122015915114,Xayah , Sivir
236,50.997150997150996,Xayah , Tristana
237,48.1283422459893,Xayah , Twitch
238,49.074074074074076,Xayah , Varus
239,50.569860700717605,Xayah , Vayne
